./Samples_cropped/Picture 11.png,[0.50687724]
./Samples_cropped/Picture10.png,[0.50402796]
./Samples_cropped/Picture 14.png,[0.50280833]
./Samples_cropped/Picture 12.png,[0.4637581]
./Samples_cropped/Picture 17.png,[0.443869]
./Samples_cropped/Picture 20.png,[0.4354235]
./Samples_cropped/Picture 29.png,[0.41441873]
./Samples_cropped/Picture 21.png,[0.41028073]
./Samples_cropped/Picture 22.png,[0.4083969]
./Samples_cropped/Picture 36.png,[0.40121764]
./Samples_cropped/Picture 35.png,[0.39648324]
./Samples_cropped/Picture 18.png,[0.38994017]
./Samples_cropped/Picture 23.png,[0.38202047]
./Samples_cropped/Picture 30.png,[0.35979658]
./Samples_cropped/Picture 26.png,[0.35925806]
./Samples_cropped/Picture 24.png,[0.35805702]
./Samples_cropped/Picture 25.png,[0.35597456]
./Samples_cropped/Picture 19.png,[0.35140246]
./Samples_cropped/Picture 28.png,[0.33329004]
./Samples_cropped/Picture 27.png,[0.32419536]
./Samples_cropped/Picture 16.png,[0.2785506]
./Samples_cropped/Picture 32.png,[0.20988688]
